Nro,x_A5,y_A5,x_A3,y_A3,x_A4,y_A4
1,0,0,0,0,-0.6,-0.205950952
2,0.1,-0.003284776,-0.05,-0.000986468,-0.55,-0.157146417
3,0.2,-0.011711021,-0.1,-0.003950493,-0.5,-0.1191775
4,0.3,-0.024634635,-0.15,-0.008906045,-0.45,-0.089437873
5,0.4,-0.041752625,-0.2,-0.015876776,-0.4,-0.066450585
6,0.5,-0.062866133,-0.25,-0.024896595,-0.35,-0.049310641
7,0.6,-0.087828436,-0.3,-0.036010523,,
8,0.7,-0.116524048,-0.35,-0.049275863,,
9,0.8,-0.148858211,,,,
10,0.9,-0.184750882,,,,
11,1,-0.224132976,,,,
12,1.115,-0.273657821,,,,
