Nro,t_min,t_h,P_M0025_5a,P_M0025_10a,P_M0025_25a,P_M0025_50a,P_M0025_100a
1,5,0.0833,1.13,1.27,1.43,1.54,1.65
2,10,0.1667,1.21,1.35,1.52,1.65,1.76
3,15,0.25,1.3,1.45,1.64,1.77,1.89
4,20,0.3333,1.41,1.57,1.77,1.91,2.05
5,25,0.4167,1.54,1.72,1.93,2.09,2.24
6,30,0.5,1.7,1.9,2.14,2.31,2.48
7,35,0.5833,1.91,2.14,2.4,2.6,2.78
8,40,0.6667,2.19,2.46,2.76,2.99,3.2
9,45,0.75,8.04,9,10.12,10.94,11.72
10,50,0.8333,8.38,9.38,10.56,11.41,12.22
11,55,0.9167,8.91,9.98,11.22,12.13,13
12,60,1,10.02,11.21,12.62,13.63,14.61
13,65,1.0833,12.2,13.65,15.36,16.6,17.79
14,70,1.1667,9.33,10.45,11.75,12.7,13.61
15,75,1.25,8.61,9.64,10.85,11.72,12.56
16,80,1.3333,8.2,9.17,10.32,11.15,11.95
17,85,1.4167,1.77,1.98,2.23,2.4,2.58
18,90,1.5,2.04,2.28,2.57,2.78,2.97
19,95,1.5833,1.8,2.01,2.26,2.44,2.62
20,100,1.6667,1.61,1.8,2.03,2.19,2.35
21,105,1.75,1.47,1.64,1.85,2,2.14
22,110,1.8333,1.35,1.51,1.7,1.84,1.97
23,115,1.9167,1.25,1.4,1.58,1.7,1.83
24,120,2,1.17,1.31,1.47,1.59,1.71
