Nro,Ano,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Total_PH,Total_PS,Total
1,1965,440.1,551.9,968.5,808.3,487.8,336.7,205,30.5,195.9,125.3,50.2,227.5,3484.1,943.6,4427.7
2,1966,919.1,458.2,609.5,446.7,231.3,29.4,29.6,101.2,20.1,100.6,54.9,207.1,2871.9,335.8,3207.7
3,1967,518.9,463.6,311.1,421.9,352.7,23.6,24.6,15.3,90.5,38,2.2,44.1,2112.3,194.2,2306.5
4,1968,459.2,367.8,493.8,392.8,150.7,110.7,26.8,12,56,27.5,23.9,143.9,2008.2,256.9,2265.1
5,1969,251.6,548.7,731.6,621.4,503.3,640.8,219.3,25.9,58.9,36.5,142.4,137,2793.6,1123.8,3917.4
6,1970,754.4,640.2,596.7,1197.3,599.8,213.74,219.7,73.1,59,99.1,142.4,240.6,4029,807.04,4836.04
7,1973,566,390.2,776.5,973.9,677.1,217.1,119,61.2,109.1,77.8,22.6,93.3,3477,606.8,4083.8
8,1974,140.6,498.9,205.4,586.5,181.7,114.4,8.8,4.2,65.1,100.4,53,307,1920.1,345.9,2266
9,1975,446.1,528.3,818.1,798.8,287.9,211.6,29.7,52.2,39,37,26,147.4,3026.6,395.5,3422.1
10,1976,718.7,374.7,896.1,614.6,480.8,352.7,149.4,42.2,23.6,4.2,0,177.4,3262.3,572.1,3834.4
11,1977,416.1,646.6,863.5,537.4,99.6,157.8,30.2,19.7,70.3,22.4,2.4,227.3,2790.5,302.8,3093.3
12,1978,419.9,437.9,367.5,567.1,355.4,51.1,39.9,12,36.3,55.5,26.5,87.6,2235.4,221.3,2456.7
13,1979,387.6,397.3,414.3,449.5,137.8,254.1,18.1,68.1,116.7,7.3,3.2,62.5,1849,467.5,2316.5
14,1980,334.1,432,552.8,459.7,272.8,107.7,2.2,22.9,2.9,59.3,30.3,54.5,2105.9,225.3,2331.2
15,1981,330.3,720,502.9,373.9,13.8,7.3,40.8,94.1,53.3,14.7,22.9,199.7,2140.6,233.1,2373.7
16,1982,504.2,472.6,293.6,479.9,478.2,36.5,181.7,5.9,43.6,542.4,594.5,521.3,2749.8,1404.6,4154.4
17,1983,976.8,854.3,892.5,522.5,564.2,771,545.9,312.7,471.5,109.3,74.6,93.1,3903.4,2285,6188.4
18,1984,147.9,822.4,630.9,684,195.2,101.4,9.3,22.8,118.6,41.1,29.9,210.5,2690.9,323.1,3014
19,1985,269.7,480.5,321.8,267.1,310.5,258.4,19.6,28.8,53.9,8.3,18.5,126.74,1776.34,387.5,2163.84
20,1986,785.1,371.1,545.5,831.1,117,22,7.6,25.3,18.7,47.4,49,333.4,2983.2,170,3153.2
21,1987,756.5,1016.2,925.7,703.8,383.8,22.7,3,149.8,30.1,27.4,33.9,258.1,4044.1,266.9,4311
22,1988,572.7,691.3,275.4,683.2,302.41,38.3,82.4,29.7,48.2,44.8,31.3,124.4,2649.41,274.7,2924.11
23,1989,545.1,612.9,174.5,778.2,334.1,135,40,8,26.8,155,30.2,112.4,2557.2,395,2952.2
24,1990,357.7,503.4,454.1,671.2,101,123,45.1,40.6,9.6,33,11.6,171.5,2258.9,262.9,2521.8
25,1991,323.3,759.6,565,681.6,421.1,40.3,50.4,15.2,29.7,26.3,83.2,246.9,2997.5,245.1,3242.6
26,1992,381.2,511.9,712.3,713.5,674.1,271.6,58.5,27,18,60.6,20.1,76.8,3069.8,455.8,3525.6
27,1993,596,754,666.9,1101.7,176.1,80.9,112.2,16.1,65.4,12.4,44.8,178.2,3472.9,331.8,3804.7
28,1994,511.6,622.4,714.6,626.3,376.8,113,2.5,3.6,25.3,39.1,51.4,223.4,3075.1,234.9,3310
29,1995,558.1,565,355.4,574,248.5,103.3,48.7,58.7,9.6,99.7,14.4,251.8,2552.8,334.4,2887.2
30,1996,323.6,543.8,723.9,283.8,201.6,75.4,23.6,27.4,12.3,19.8,9.6,34.9,2111.6,168.1,2279.7
31,1997,425.3,566.5,569.2,777.4,556.9,713,413.7,518.5,849.6,757.2,509.7,530.6,3425.9,3761.7,7187.6
32,1998,750,462.1,966.7,973.6,912.8,500.2,417.6,56.5,82.6,13.9,32.1,46.7,4111.9,1102.9,5214.8
33,1999,276.3,609.2,580.7,911.7,437,123.1,36.2,22,124.8,65.2,45,122.9,2937.8,416.3,3354.1
34,2000,156.7,430.3,466.2,603.6,269.9,105.3,7.8,18.5,64.4,79.1,6.2,74.3,2001,281.3,2282.3
35,2001,449.1,376.9,717.3,808,198.4,11.6,31.1,0.9,33.9,4.8,7.5,82.5,2632.2,89.8,2722
36,2002,340.5,606.2,629,682.4,526.6,257.3,15.8,8.2,108,86.1,47.1,496.1,3280.8,522.5,3803.3
37,2003,660.3,539.9,498,660.1,327.9,85.5,58,35.8,3,130.6,21.7,287.8,2974,334.6,3308.6
38,2004,287.9,630.1,433.9,287.9,367,71,15.5,6,81.7,99,48.7,33.9,2040.7,321.9,2362.6
39,2005,177.1,332.2,796.7,778.7,26.8,4,2.1,4.3,24.3,33.4,22.3,167.7,2279.2,90.4,2369.6
40,2006,262.2,482.7,676,466,192,88.7,18.4,97,48.9,25.1,374.9,53.2,2132.1,653,2785.1
41,2007,563.2,633.8,774,620.3,665.9,238,90.3,19.6,33.6,17.2,32.4,95.3,3352.5,431.1,3783.6
42,2008,823.7,639.7,503.2,478.9,161.4,89.5,118.4,71.8,152,55.4,25.8,76.5,2683.4,512.9,3196.3
43,2009,573.5,298.7,442.3,453.5,257.4,9,39.2,21.7,6.8,8.1,7.7,470.6,2496,92.5,2588.5
44,2010,365.7,605.7,661.6,687.9,449.9,60.4,87.7,72.2,45.2,13.2,99.4,405.4,3176.2,378.1,3554.3
45,2011,789,218.6,446.9,423.6,91.6,119.2,113.7,20.4,65,48.3,3.6,117.4,2087.1,370.2,2457.3
46,2012,688.8,706,989.9,573.5,694.3,221.4,14.5,6,4.9,73.7,42.9,28.8,3681.3,363.4,4044.7
