Nro,Cuenca,Subcuencas,Codigo,A(km2),CN,CN cuenca
1,Cocola,Cocola,C1,5.0457,68.63,63.51
2,Cocola,Cocola,C2,5.1122,61.99,63.51
3,Cocola,Cocola,C3,2.2351,70.95,63.51
4,Cocola,Cocola,C4,2.856,54.82,63.51
5,Cocola,Cocola,C5,1.6209,55.93,63.51
6,Cocola,Cocola,C6,0.0939,65.17,63.51
7,Cocola,Cocola,C7,1.7858,64.81,63.51
8,Cocola,Cocola,C8,2.3588,57.36,63.51
9,Cocola,Cocola,C9,2.1307,69.97,63.51
10,Cocola,Cocola,C10,0.3851,62.4,63.51
11,Cocola,Cocola,C11,1.0594,66.71,63.51
12,Cocola,Cocola,C12,1.4822,68.98,63.51
13,Cocola,Cocola,C13,0.8676,58.55,63.51
14,Cocola,Cocola,C14,1.7187,59.96,63.51
15,Cucaracha,Cucaracha,CU1,16.8214,56.37,54.18
16,Cucaracha,Cucaracha,CU2,11.0848,47.68,54.18
17,Cucaracha,Cucaracha,CU3,6.4969,58.66,54.18
18,Cucaracha,Cucaracha,CU4,3.585,50.88,54.18
19,Cucaracha,Cucaracha,CU5,11.2024,53.6,54.18
20,Cucaracha,Cucaracha,CU6,5.5215,52.47,54.18
21,Cucaracha,Cucaracha,CU7,14.3332,43.75,54.18
22,Cucaracha,Cucaracha,CU8,11.7249,58.25,54.18
23,Cucaracha,Cucaracha,CU9,8.0308,55.69,54.18
24,Cucaracha,Cucaracha,CU10,5.6471,55.08,54.18
25,Cucaracha,Cucaracha,CU11,7.1271,59.1,54.18
26,Cucaracha,Cucaracha,CU12,2.3958,57.15,54.18
27,Cucaracha,Cucaracha,CU13,0.5571,51.06,54.18
28,Cucaracha,Cucaracha,CU14,10.7378,55.11,54.18
29,Cucaracha,Cucaracha,CU15,6.6908,61.06,54.18
30,Cucaracha,Cucaracha,CU16,5.3796,58.29,54.18
