,ID,Cuenca,Subcuencas,Nombre,Area_km2,Perim_km,Lc,B,Cmax_c,Cmin_c,H,Alt_med_c,Pend_med_c,Rf,Kc,Cc,Lcp_km,Cmax_cp,Cmin_cp,dh,Ltd_km,D,Nc,Frecd,Smcp,Smpcp,tc_min,tlag_min,CN
1,1,Blanco,Toachi,To_1a,137.483,93.1,22.7,1.48,4522,3245,1277,3921.53,18.11,0.27,2.24,0.2,24.06,4020,3247,773,49.023,2.8,15,9.17,0.0321,0.0112,260.32,156.19,0
2,2,Blanco,Toachi,To_1b,110.087,69.73,15.8,1.58,4371,3247,1124,3806.34,17.03,0.44,1.87,0.28,17.8,3936,3257,679,33.684,3.27,15,7.34,0.0381,0.016,179.93,107.96,0
3,3,Blanco,Toachi,To_1c,70.564,56.05,10.58,1.26,4284,2913,1371,3602.66,19.1,0.63,1.88,0.28,9.33,3666,2913,753,21.687,3.25,7,10.08,0.0807,0.0236,94.21,56.53,0
4,4,Blanco,Toachi,To_2a,198.11,102.91,23.2,1.93,4279,2362,1917,3239.31,21.97,0.37,2.06,0.24,26.609,3456,2370,1086,59.626,3.32,31,6.39,0.0408,0.011,283.27,169.96,0
5,5,Blanco,Toachi,To_2b,152.333,92.36,18.8,1.65,5203,2371,2832,3534.14,21.54,0.43,2.11,0.22,21.402,3694,2371,1323,62.9896,2.42,16,9.52,0.0618,0.0238,177.96,106.78,0
6,6,Blanco,Toachi,To_2c,105.469,74.73,14.8,1.41,3877,1965,1912,2898.16,21.05,0.48,2.05,0.24,17.185,2910,1967,943,37.6979,2.8,15,7.03,0.0549,0.0599,105.35,63.21,0
7,7,Blanco,Toachi,To_3,191.873,106.98,28.5,1.79,3785,1122,2663,2309.33,29.47,0.24,2.18,0.21,33.11,2738,1153,1585,56.572,3.39,17,11.29,0.0479,0.0666,167.57,100.54,0
8,8,Blanco,Toachi,To_4,74.887,53.52,10.46,1.4,2781,1162,1619,2017.48,20.25,0.68,1.74,0.33,9.161,1898,1162,736,30.456,2.46,13,5.76,0.0803,0.0903,55.41,33.25,0
9,9,Blanco,Toachi,To_5,184.941,86.31,15.43,2.14,5107,1883,3224,3104.77,26.94,0.78,1.79,0.31,17.458,3513,1883,1630,57.988,3.19,20,9.25,0.0934,0.0729,98.87,59.32,0
10,10,Blanco,Toachi,To_6,143.479,81.63,17.8,1.76,3483,1160,2323,1987.01,26.24,0.45,1.92,0.27,16.12,2148,1170,978,43.5225,3.3,17,8.44,0.0607,0.0354,122.79,73.67,0
11,11,Blanco,Toachi,To_7,47.649,59.44,16.3,0.8,2555,952,1603,1727.37,24.55,0.18,2.43,0.17,16.882,1917,953,964,26.858,1.77,5,9.53,0.0571,0.0688,98.52,59.11,0
12,12,Blanco,Toachi,To_8,59.816,61.66,13.3,0.97,2381,944,1437,1539.99,21.04,0.34,2.25,0.2,14.496,1678,957,721,22.367,2.67,7,8.55,0.0497,0.0644,89.87,53.92,0
13,13,Blanco,Pilatón,Pi_1,67.256,54.93,14.2,1.22,4768,1659,3109,3053.57,28.36,0.33,1.89,0.28,14.851,3174,1670,1504,30.9878,2.17,7,9.61,0.1013,0.1176,72.61,43.57,0
14,14,Blanco,Pilatón,Pi_2,140.294,83.1,18.5,1.69,4409,1651,2758,2970.54,25.58,0.41,1.98,0.26,20.231,2961,1651,1310,48.179,2.91,13,10.79,0.0648,0.0565,122.17,73.3,0
15,15,Blanco,Pilatón,Pi_3,110.105,96.36,20.17,1.14,3523,1230,2293,2165.98,24,0.27,2.59,0.15,22.12,2428,1234,1194,41.318,2.66,17,6.48,0.054,0.0689,121.24,72.74,0
16,16,Blanco,Pilatón,Pi_4,117.328,72.69,21.08,1.61,3970,1244,2726,2458.47,28.88,0.26,1.89,0.28,23.75,2873,1241,1632,42.9152,2.73,11,10.67,0.0687,0.0535,141.16,84.7,0
17,17,Blanco,Pilatón,Pi_5,106.83,70.04,15.33,1.53,3148,1057,2091,1816.7,24.94,0.45,1.91,0.27,21.148,2165,1065,1100,31.1716,3.43,7,15.26,0.052,0.0389,145.95,87.57,0
18,18,Blanco,Alluriquín,All_1,87.326,78.98,16.6,1.11,2431,793,1638,1431.32,20.45,0.32,2.38,0.18,19.32,1673,793,880,35.861,2.44,11,7.94,0.0455,0.0395,135.33,81.2,0
19,19,Blanco,Alluriquín,All_2,48.932,46.37,9.5,1.06,1795,796,999,1272.55,20.33,0.54,1.87,0.29,9.849,1318,796,522,20.4568,2.39,7,6.99,0.053,0.0542,71.32,42.79,0
20,20,Blanco,Alluriquín,All_3,70.958,59.32,14.6,1.2,2171,671,1500,1177.02,17.39,0.33,1.99,0.25,14.501,1238,678,560,22.732,3.12,5,14.19,0.0386,0.0496,99.4,59.64,0
21,21,Blanco,Alluriquín,All_4,85.702,63.2,18.3,1.36,2555.03,676,1879.03,1420.42,19.61,0.26,1.93,0.27,19.24,1614,678,936,24.846,3.45,9,9.52,0.0486,0.0618,113.55,68.13,0
22,22,Blanco,Alluriquín,All_5,47.121,48.59,12.39,0.97,1557,528,1029,825.37,12.6,0.31,2,0.25,14.281,765,528,237,16.388,2.88,5,9.42,0.0166,0.0106,177.94,106.76,0
23,23,Blanco,Blanco,B_1,391.187,167.26,40.51,2.34,4423,1027,3396,2289.33,23.56,0.24,2.39,0.18,63.387,3369,1027.1589,2341.84,183.016,2.14,61,6.41,0.0369,0.0235,412.61,247.57,0
24,24,Blanco,Blanco,B_2,288.527,147.46,31.27,1.96,4740,1028,3712,2755.03,26.03,0.3,2.45,0.17,60.968,3939,1027.2,2911.8,155.13,1.86,41,7.04,0.0478,0.0367,337.28,202.37,0
25,25,Blanco,Blanco,B_3,223.425,111.03,31.33,2.01,4726,989,3737,2297.14,26.62,0.23,2.1,0.23,46.515,3927,988.5,2938.5,110.99,2.01,31,7.21,0.0632,0.0358,276.48,165.89,0
26,26,Blanco,Blanco,B_4,2.171,8.02,1.67,0.27,1431,973,458,1168.69,25.82,0.78,1.53,0.42,2.189,1027.2,988.78,38.42,2.189,0.99,1,2.17,0.0176,0.0178,34.39,20.63,0
27,27,Blanco,Blanco,B_5,347.975,156.17,39.88,2.23,1450,315,1135,666.22,7.91,0.22,2.36,0.18,58.555,1106,315,791,214.34,1.62,45,7.73,0.0135,0.0106,527.41,316.45,0
28,28,Blanco,Blanco,B_6,281.695,109.26,24.22,2.58,2091,532,1559,1038.49,14.23,0.48,1.84,0.3,32.499,1300,527.267,772.73,123.383,2.28,45,6.26,0.0238,0.0235,246.69,148.01,0
29,29,Blanco,Blanco,B_7,155.596,76.46,15.97,2.04,1925,532,1393,989.55,14.51,0.61,1.73,0.33,2.95,1047.5,528.416,519.08,66.693,2.33,17,9.15,0.176,0.017,44.05,26.43,0
30,30,Blanco,Blanco,B_8,150.687,97.61,24.3,1.54,945,412,533,641.18,8.26,0.26,2.24,0.2,18.219,785,439.326,345.67,93.681,1.61,21,7.18,0.019,0.0181,174.69,104.81,0
31,31,Blanco,Blanco,B_9,129.93,140.46,37.76,0.93,1782,411,1371,902.32,12.07,0.09,3.48,0.08,11.637,1241,819.22,421.78,69.441,1.87,11,11.81,0.0362,0.0422,89.29,53.57,0
32,32,Blanco,Blanco,B_10,32.313,47.98,9.17,0.67,608,315,293,443.82,6.92,0.38,2.38,0.18,11.53,409.36,315.5,93.86,17.684,1.83,7,4.62,0.0081,0.0087,162.84,97.7,0
33,35,Blanco,Blanco,B_13,177.098,191.11,40.33,0.93,823,102,721,268.05,6.3,0.11,4.05,0.06,51.103,662,132,530,127.26,1.39,23,7.7,0.0104,0.0087,512.45,307.47,0
