,ID,Cuenca,Subcuencas,Nombre,Area_km2,Perim_km,Lc,B,Cmax_c,Cmin_c,H,Alt_med_c,Pend_med_c,Rf,Kc,Cc,Lcp_km,Cmax_cp,Cmin_cp,dh,Ltd_km,D,Nc,Frecd,Smcp,Smpcp,tc_min,tlag_min,CN
1,1,Cocola,Cocola,C1,5.0457,21.4645,5.24,0.24,264,191.25,72.75,222.74,4.34,0.18,2.7,0.14,6.9734,234,191.25,42.75,10.796,0.47,13,0.39,0.0061,0.00626,125.5,75.3,68.63
2,2,Cocola,Cocola,C2,5.1122,17.4003,3.61,0.29,240,191.27,48.73,217.17,4.28,0.39,2.17,0.21,5.825,221.18,191.25,29.93,9.7064,0.53,17,0.3,0.0051,0.00528,116.66,70,61.99
3,3,Cocola,Cocola,C3,2.2351,12.1524,2.1,0.18,223.82,181.62,42.2,201.35,7.48,0.51,2.29,0.19,2.229,196.36,181.61,14.75,5.5178,0.41,5,0.45,0.0066,0.00704,49.84,29.9,70.95
4,4,Cocola,Cocola,C4,2.856,19.1924,3.63,0.15,239.17,190.45,48.72,206.29,5.32,0.22,3.2,0.1,4.156,206.37,191.58,14.79,6.386,0.45,5,0.57,0.0036,0.00348,105.62,63.37,54.82
5,5,Cocola,Cocola,C5,1.6209,12.3363,1.748,0.13,220.73,191.56,29.17,204.81,5.84,0.53,2.73,0.13,3.1,203.34,191.58,11.76,3.601,0.45,5,0.32,0.0038,0.00402,79.72,47.83,55.93
6,6,Cocola,Cocola,C6,0.0939,2.5361,0.52,0.04,207.24,183.24,24,198.52,6.91,0.35,2.33,0.18,0.5,191.58,181.61,9.97,0.52,0.18,1,0.09,0.0199,0.0199,10.57,6.34,65.17
7,7,Cocola,Cocola,C7,1.7858,9.2723,1.813,0.19,221.08,174.04,47.04,192.66,7.09,0.54,1.96,0.26,2.5018,191.28,174.04,17.24,4.3706,0.41,3,0.6,0.0069,0.0042,66.46,39.88,64.81
8,8,Cocola,Cocola,C8,2.3588,15.9924,3.65,0.15,221.1,174.71,46.39,195.49,4.76,0.18,2.94,0.12,4.2268,197.47,174.04,23.43,4.3706,0.54,3,0.79,0.0055,0.0081,77.29,46.37,57.36
9,9,Cocola,Cocola,C9,2.1307,10.4483,1.93,0.2,218.95,171.75,47.2,191.41,7.06,0.57,2.02,0.25,3.2067,185.59,171.76,13.83,4.8593,0.44,7,0.3,0.0043,0.00634,68.66,41.2,69.97
10,10,Cocola,Cocola,C10,0.3851,5.5362,1.43,0.07,219.03,171.75,47.28,184.53,8.65,0.19,2.52,0.16,1.5825,196.21,171.76,24.45,1.5825,0.24,1,0.39,0.0155,0.0155,28.25,16.95,62.4
11,11,Cocola,Cocola,C11,1.0594,13.4324,1.186,0.08,202.9,154.25,48.65,179.37,12.75,0.75,3.68,0.07,4.9751,197.1,154.25,42.85,4.9751,0.21,1,1.06,0.0086,0.00861,85.59,51.35,66.71
12,12,Cocola,Cocola,C12,1.4822,11.5684,1.11,0.13,202.2,151.52,50.68,172.31,7.14,1.2,2.68,0.14,1.1019,167.68,151.52,16.16,2.6315,0.56,4,0.37,0.0147,0.0192,19.69,11.81,68.98
13,13,Cocola,Cocola,C13,0.8676,10.4563,2.46,0.08,192.43,159.55,32.88,175.68,6.47,0.14,3.17,0.1,2.5592,175.52,151.5,24.02,2.5592,0.34,1,0.87,0.0094,0.0136,43.02,25.81,58.55
14,14,Cocola,Cocola,C14,1.7187,12.8164,1.118,0.13,184.45,145.44,39.01,165.84,10.03,1.38,2.76,0.13,0.923,154.08,145.44,8.64,5.7329,0.3,6,0.29,0.0094,0.0155,18.65,11.19,59.96
