,ID,Cuenca,Subcuencas,Nombre,Area_km2,Perim_km,Lc,B,Cmax_c,Cmin_c,H,Alt_med_c,Pend_med_c,Rf,Kc,Cc,Lcp_km,Cmax_cp,Cmin_cp,dh,Ltd_km,D,Nc,Frecd,Smcp,Smpcp,tc_min,tlag_min,CN
1,1,Mache,Mache,MA1,16.8213,35.9029,8.99,0.47,403,299,104,351.55,4.8,0.21,2.47,0.16,9.7924,384,306,78,29.957,0.56,38,0.44,0.008,0.00661,159.61,95.77,0
2,2,Mache,Mache,MA2,10.3707,33.2482,4.085,0.31,328,237,91,286.06,5.71,0.62,2.91,0.12,5.1582,290,240,50,17.8989,0.58,27,0.38,0.0097,0.00929,85.47,51.28,0
3,3,Mache,Mache,MA3,16.9334,37.9119,10.106,0.45,343,242,101,295.94,5.85,0.17,2.6,0.15,11.487,324,240,84,30.72,0.55,41,0.41,0.0073,0.00657,180.91,108.55,0
4,4,Mache,Mache,MA4,7.1655,32.4489,7,0.22,283,177.16,105.84,242.46,7.55,0.15,3.42,0.09,10.0525,260,177.165,82.84,13.5504,0.53,17,0.42,0.0082,0.00893,145.06,87.04,0
5,5,Mache,Mache,MA5,21.0613,37.1367,9.47,0.57,303,177.16,125.84,246.08,7.69,0.23,2.28,0.19,11.58,274,177.16,96.84,37.273,0.57,41,0.51,0.0084,0.0081,167.94,100.76,0
6,6,Mache,Mache,MA6,1.6702,12.0884,2.983,0.14,259,175,84,209.28,7.96,0.19,2.64,0.14,3.4267,222,175,47,3.6116,0.46,5,0.33,0.0137,0.01052,59.46,35.68,0
7,7,Mache,Mache,MA7,5.9347,27.0007,6.69,0.22,272,175.06,96.94,231.38,7.23,0.13,3.13,0.1,8.8129,243,175,68,11.623,0.51,13,0.46,0.0077,0.00967,127.12,76.27,0
8,8,Mache,Mache,MA8,10.211,36.4256,9.17,0.28,260,159.49,100.51,225.23,7.18,0.12,3.22,0.1,11.921,246,159.49,86.51,21.513,0.47,21,0.49,0.0073,0.00788,173.57,104.14,0
9,9,Mache,Mache,MA9,6.4827,22.601,4.97,0.29,239.61,160.72,78.89,197.42,9.36,0.26,2.5,0.16,9.535,213,160.72,52.28,15.4459,0.42,21,0.31,0.0055,0.00333,203.61,122.17,0
10,10,Mache,Mache,MA10,4.1377,17.0248,4.66,0.24,238,160.72,77.28,202.55,11.5,0.19,2.36,0.18,5.5164,190.26,160.72,29.54,8.5134,0.49,13,0.32,0.0054,0.00749,97.78,58.67,0
11,11,Mache,Mache,MA11,6.605,25.5775,6.94,0.26,244.89,163.39,81.5,196.95,10.89,0.14,2.81,0.13,8.7667,199.44,164.73,34.71,14.8046,0.45,19,0.35,0.004,0.00417,175.02,105.01,0
12,12,Mache,Mache,MA12,3.5211,20.9774,5.13,0.17,239.77,163.78,75.99,202.72,11.2,0.13,3.15,0.1,7.3483,210.49,164.73,45.76,9.3036,0.38,7,0.5,0.0062,0.00594,133.33,80,0
13,13,Mache,Mache,MA13,6.7356,18.6251,4.13,0.36,224.46,149.69,74.77,178.42,10.28,0.39,2.02,0.24,3.9279,177.198,149.69,27.51,13.8517,0.49,19,0.35,0.007,0.00542,85.27,51.16,0
14,14,Mache,Mache,MA14,4.6537,22.7135,4.83,0.2,220.2,154.17,66.03,184.51,10.69,0.2,2.97,0.11,6.3934,176.852,154.17,22.68,8.9753,0.52,11,0.42,0.0035,0.00478,130.23,78.14,0
15,15,Mache,Mache,MA15,2.4427,15.0411,2.7,0.16,216.58,154.13,62.45,184.11,8.73,0.34,2.71,0.14,3.5399,182.41,154.17,28.24,4.6822,0.52,7,0.35,0.008,0.00931,63.91,38.35,0
16,16,Mache,Mache,MA16,6.3866,25.5454,5.86,0.25,231.47,149.69,81.78,190.63,10.04,0.19,2.85,0.12,8.3088,193.27,149.69,43.58,11.979,0.53,15,0.43,0.0052,0.00541,151.92,91.15,0
17,17,Mache,Mache,MA17,0.0993,2.5762,0.317,0.04,195.39,149.21,46.18,166.16,14.64,0.99,2.31,0.19,0.4964,149.69,149.21,0.48,0.4964,0.2,1,0.1,0.001,0.00061,40.21,24.13,0
18,18,Mache,Mache,MA18,0.1755,3.3682,0.57,0.05,196.26,149.23,47.03,166.51,13.23,0.54,2.27,0.19,0.7357,154.17,149.21,4.96,0.7357,0.24,1,0.18,0.0067,0.00889,19.4,11.64,0
19,19,Mache,Mache,MA19,4.3228,16.8972,2.6,0.26,215.59,138.9,76.69,168.26,11.04,0.64,2.29,0.19,3.5498,177.314,138.9,38.41,9.826,0.44,15,0.29,0.0108,0.00614,75.18,45.11,0
20,20,Mache,Mache,MA20,2.0332,13.7929,3.5,0.15,201.09,139.09,62,170.74,10.03,0.17,2.73,0.13,4.1919,175.02,138.9,36.12,4.2812,0.47,3,0.68,0.0086,0.0086,75.05,45.03,0
21,21,Mache,Mache,MA21,2.4975,15.8732,4.08,0.16,215.57,133.23,82.34,167.84,10.17,0.15,2.83,0.12,4.7404,179,133.1,45.9,4.7927,0.52,3,0.83,0.0097,0.00676,90.51,54.31,0
22,22,Mache,Mache,MA22,1.6354,9.5767,1.31,0.17,176.21,133.11,43.1,151.35,7.31,0.95,2.11,0.22,0.991,145.9033,133.133,12.77,2.7974,0.58,3,0.55,0.0129,0.01461,20.16,12.1,0
23,23,Mache,Mache,MA23,3.714,14.9051,3.25,0.25,189.03,126.12,62.91,147.65,7.98,0.35,2.18,0.21,3.4384,149.7284,126.119,23.61,8.4974,0.44,12,0.31,0.0069,0.00389,87.44,52.46,0
24,24,Mache,Mache,MA24,2.2886,14.2091,2.74,0.16,186.21,116.73,69.48,135.91,8.92,0.3,2.65,0.14,4.1414,126.119,116.7709,9.35,4.3199,0.53,5,0.46,0.0023,0.00192,132.43,79.46,0
25,25,Mache,Mache,MA25,2.3198,13.105,3.06,0.18,181.21,116.83,64.38,145.85,8.66,0.25,2.43,0.17,3.3118,135.75,116.77,18.98,4.6817,0.5,5,0.46,0.0057,0.00744,66.18,39.71,0
26,26,Mache,Mache,MA26,4.8638,20.5856,3.95,0.24,178.81,103.14,75.67,133.88,12.06,0.31,2.63,0.14,4.7924,116.771,103.1356,13.64,8.7353,0.56,15,0.32,0.0028,0.00245,134.92,80.95,0
