Nro,t_min,t_h,I_mmh,Pacum_mm,dP_mm,Int_min,P
1,5,0.0833,118.26,9.86,9.86,0-5,0.92
2,10,0.1667,107.7,17.95,8.09,5-10,0.98
3,15,0.25,101.96,25.49,7.54,10-15,1.05
4,20,0.3333,98.08,32.69,7.2,15-20,1.14
5,25,0.4167,95.17,39.65,6.96,20-25,1.24
6,30,0.5,92.85,46.43,6.77,25-30,1.37
7,35,0.5833,90.94,53.05,6.62,30-35,1.54
8,40,0.6667,89.32,59.54,6.5,35-40,1.77
9,45,0.75,81.3,60.97,1.43,40-45,6.5
10,50,0.8333,75.29,62.74,1.77,45-50,6.77
11,55,0.9167,70.25,64.39,1.65,50-55,7.2
12,60,1,65.93,65.93,1.54,55-60,8.09
13,65,1.0833,62.2,67.39,1.45,60-65,9.86
14,70,1.1667,58.93,68.76,1.37,65-70,7.54
15,75,1.25,56.05,70.06,1.3,70-75,6.96
16,80,1.3333,53.48,71.3,1.24,75-80,6.62
17,85,1.4167,51.17,72.49,1.19,80-85,1.43
18,90,1.5,49.08,73.62,1.14,85-90,1.65
19,95,1.5833,47.19,74.71,1.09,90-95,1.45
20,100,1.6667,45.46,75.76,1.05,95-100,1.3
21,105,1.75,43.87,76.77,1.01,100-105,1.19
22,110,1.8333,42.41,77.75,0.98,105-110,1.09
23,115,1.9167,41.06,78.7,0.95,110-115,1.01
24,120,2,39.81,79.61,0.92,115-120,0.95
